40631	Just put the winter duvet on ☃️❄️🌬☔️ #serious	sadness
10632	@St8edge4life88 eh well i can do the sting vs cactus loser leaves wcw match at bash at the beach lol	anger
20632	@BrandedByCas I was like that when I started college. It was horrific but it probably will get better. Don't give up yet	fear
30632	I love when my dog is playful, but he really just scratched my face while flailing his paws in excitement and almost tore my nose ring out	joy
40632	@TetraVariations I don't need a mask, but I'll gladly make a donation to help in ur name! Is it Mr. TY Rex or first initial only? #serious	sadness
10633	@warFarePower dip it in boiling water	anger
20633	Jesus wept! Another RNS from #rusty @metaltigerplc quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is 	fear
30633	@fillegrossiere @PeasParsley @tombrodude bobs burgers is an animated show. Maybe Bob looks like him. They would cast him based on voice too	joy
40633	#sober life	sadness
10634	I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming 	anger
20634	@ynnsanity Maybe that's why, we're asked to study hard and get a job that we like. That way it wouldn't be that dreadful.	fear
30634	I take a strange delight from seeing mark Hughes struggle	joy
40634	need to sta dating again.I m bored #redheadteen #boldandbeautiful #lost #500aday single men dating Schkeuditz	sadness
10635	When anger rises, think of the consequences. #quote #wisdom #anger	anger
20635	Just #terrible from the cats there. Wow. #AFLCatsSwans	fear
30635	@MalYoung @AngelicaMcD I hope to now see some levity, light, romance and happiness come Stitch and Abby's way after such a long hard road.	joy
40635	@_Mrs_Peel @lp_lisa @PaulRGoulden @LisaLuscious Might be the pout of a star baker tho !	sadness
10636	New madden kicking 🚮	anger
20636	@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness 	fear
30636	On the bright side with YouTube heroes leafy will finally get banned	joy
40636	Had a dream last night that Chris Brown created a diss track about Drake and Rihanna called 'I Hit It First' 😳😳 #dark	sadness
10637	I was going to say that Rooney is a shadow of his former self but I don't want to offend any shadows. #NTFCvMUFC	anger
20637	@JTregManc it's fair to say he's been a bit timid compared to what I've been known to see from him	fear
30637	myself that despite the absolute delight my children and I would feel having a kitten in our home, the misery my husband would feel is more.	joy
40637	I got a short fuse when im sober.	sadness
10638	When you burst out crying alone and u realize that no one truly knows how unhappy you really are because you don't want anyone to know	anger
20638	@BBs_Coffee somebody needs tell staff at Reading cappuccino is supposed to have a thick layer of foam and coffee should be hot #awful again	fear
30638	@colmjoconnor well it was after my heyday too I'm afraid, I was expecting 1st baby I reckon. Now aged 15 *gulps* I'm so old :-)	joy
40638	Already plotting next steps if I get cut off by the same minivan in tomorrow's drop-off line. #preschoolpolitics #momthings 	sadness
10639	schneiderlin taking his revenge for the 2 fouls	anger
20639	@andrewspoooner wouldn't cross the street to piss on its server if it was on dire	fear
30639	@KMunie7 @KaranEsch Helluva lot more animated than they were for the actual game &gt;.&lt;	joy
40639	Never let me see you frown	sadness
10640	@JustinRow10 dude the new madden 17? Haha	anger
20640	When I walk in darkness of despondency, Sc.verses I've memorized shine a light in my heart. Ex: Lam 3:22-25 	fear
30640	backed pats -2.5 10/11 just before #pleasing	joy
40640	@xxnogard_G88 Welcome to the  dark honey !	sadness
10641	you are an angry glass of vodka	anger
20641	someone come to fright world w me🤗🤗	fear
30641	backed pats -2.5 10/11 just before 	joy
40641	@WriterlyTweets Supine on the piano—lips parted. #sixwordstory #amwriting #blues #singer	sadness
10642	one month til someone's bday and i think it's time to flaunt that I got them something pretty awesome #revenge	anger
20642	she gone make me wanna start that new shit today 😂😭	fear
